;FIN_FINANCIALCONTRACTID;FIN_SOURCESYSTEM;SEQUENCENUMBER3;ISSUENUMBER;NUMBERONCARD;VALIDFROMONCARD;VALIDTOONCARD;LIFECYCLESTATUS2;ISSUEREASON;CARDDELIVERYDATE;PINDELIVERYDATE;SHIPPINGMETHOD
790;100000740;CARDSYSTEM;100000740;1;197496610;29.03.2014;28.03.2018;active;FirstIssue;02.04.2014;06.04.2014;StandardMail
791;100000278;CARDSYSTEM;100000278;1;865722481;24.10.2015;23.10.2019;active;FirstIssue;28.10.2015;02.11.2015;StandardMail
792;100000741;CARDSYSTEM;100000741;1;362553577;09.02.2012;08.02.2016;active;FirstIssue;13.02.2012;19.02.2012;StandardMail
793;100000279;CARDSYSTEM;100000279;1;308969179;27.01.2015;26.01.2019;active;FirstIssue;31.01.2015;05.02.2015;StandardMail
794;100000742;CARDSYSTEM;100000742;1;956820293;11.05.2015;10.05.2019;active;FirstIssue;16.05.2015;21.05.2015;StandardMail
795;100000280;CARDSYSTEM;100000280;1;908486126;07.03.2015;06.03.2019;active;FirstIssue;13.03.2015;17.03.2015;StandardMail
796;100000743;CARDSYSTEM;100000743;1;691680829;11.01.2014;10.01.2018;active;FirstIssue;17.01.2014;22.01.2014;StandardMail
797;100000281;CARDSYSTEM;100000281;1;191138266;31.01.2014;30.01.2018;active;FirstIssue;04.02.2014;08.02.2014;StandardMail
798;100000744;CARDSYSTEM;100000744;1;362904635;07.12.2015;06.12.2019;active;FirstIssue;13.12.2015;17.12.2015;StandardMail
799;100000282;CARDSYSTEM;100000282;1;602741819;14.02.2013;13.02.2017;active;FirstIssue;19.02.2013;23.02.2013;StandardMail
800;100000745;CARDSYSTEM;100000745;1;686129991;24.09.2014;23.09.2018;active;FirstIssue;28.09.2014;05.10.2014;StandardMail
801;100000283;CARDSYSTEM;100000283;1;896835061;19.04.2012;18.04.2016;active;FirstIssue;24.04.2012;28.04.2012;StandardMail
802;100000746;CARDSYSTEM;100000746;1;268762457;13.09.2012;12.09.2016;active;FirstIssue;19.09.2012;23.09.2012;StandardMail
803;100000284;CARDSYSTEM;100000284;1;101292870;12.08.2015;11.08.2019;active;FirstIssue;18.08.2015;21.08.2015;StandardMail
804;100000747;CARDSYSTEM;100000747;1;707709967;29.12.2015;28.12.2019;active;FirstIssue;04.01.2016;09.01.2016;StandardMail
805;100000285;CARDSYSTEM;100000285;1;379951839;09.12.2015;08.12.2019;active;FirstIssue;14.12.2015;18.12.2015;StandardMail
806;100000748;CARDSYSTEM;100000748;1;23659653;23.10.2015;22.10.2019;active;FirstIssue;29.10.2015;03.11.2015;StandardMail
807;100000286;CARDSYSTEM;100000286;1;926328390;03.07.2016;02.07.2020;active;FirstIssue;07.07.2016;11.07.2016;StandardMail
808;100000749;CARDSYSTEM;100000749;1;258956541;06.07.2015;05.07.2019;active;FirstIssue;11.07.2015;14.07.2015;StandardMail
809;100000287;CARDSYSTEM;100000287;1;86334488;26.03.2013;25.03.2017;active;FirstIssue;31.03.2013;05.04.2013;StandardMail
810;100000750;CARDSYSTEM;100000750;1;894294526;22.09.2016;21.09.2020;active;FirstIssue;26.09.2016;30.09.2016;StandardMail
811;100000288;CARDSYSTEM;100000288;1;275019801;29.10.2012;28.10.2016;active;FirstIssue;02.11.2012;09.11.2012;StandardMail
812;100000289;CARDSYSTEM;100000289;1;84108447;18.07.2012;17.07.2016;active;FirstIssue;23.07.2012;28.07.2012;StandardMail
813;100000751;CARDSYSTEM;100000751;1;557646477;29.01.2015;28.01.2019;active;FirstIssue;02.02.2015;06.02.2015;StandardMail
814;100000290;CARDSYSTEM;100000290;1;768423442;07.08.2012;06.08.2016;active;FirstIssue;10.08.2012;18.08.2012;StandardMail
815;100000291;CARDSYSTEM;100000291;1;551153516;09.06.2012;08.06.2016;active;FirstIssue;13.06.2012;18.06.2012;StandardMail
816;100000752;CARDSYSTEM;100000752;1;1003112718;17.11.2016;16.11.2020;active;FirstIssue;20.11.2016;28.11.2016;StandardMail
817;100000292;CARDSYSTEM;100000292;1;74758895;24.08.2013;23.08.2017;active;FirstIssue;28.08.2013;02.09.2013;StandardMail
818;100000753;CARDSYSTEM;100000753;1;905719739;10.04.2015;09.04.2019;active;FirstIssue;15.04.2015;20.04.2015;StandardMail
819;100000293;CARDSYSTEM;100000293;1;706394600;01.04.2016;31.03.2020;active;FirstIssue;06.04.2016;09.04.2016;StandardMail
820;100000754;CARDSYSTEM;100000754;1;619378929;06.08.2013;05.08.2017;active;FirstIssue;11.08.2013;17.08.2013;StandardMail
821;100000294;CARDSYSTEM;100000294;1;422321345;22.08.2012;21.08.2016;active;FirstIssue;28.08.2012;02.09.2012;StandardMail
822;100000755;CARDSYSTEM;100000755;1;460188332;25.11.2013;24.11.2017;active;FirstIssue;01.12.2013;04.12.2013;StandardMail
823;100000295;CARDSYSTEM;100000295;1;700836826;21.12.2014;20.12.2018;active;FirstIssue;26.12.2014;01.01.2015;StandardMail
824;100000296;CARDSYSTEM;100000296;1;874685928;15.11.2016;14.11.2020;active;FirstIssue;19.11.2016;23.11.2016;StandardMail
825;100000756;CARDSYSTEM;100000756;1;986768432;06.09.2012;05.09.2016;active;FirstIssue;10.09.2012;15.09.2012;StandardMail
826;100000297;CARDSYSTEM;100000297;1;733675972;23.02.2012;22.02.2016;active;FirstIssue;26.02.2012;03.03.2012;StandardMail
827;100000757;CARDSYSTEM;100000757;1;218020826;15.04.2016;14.04.2020;active;FirstIssue;19.04.2016;24.04.2016;StandardMail
828;100000298;CARDSYSTEM;100000298;1;307477381;09.02.2013;08.02.2017;active;FirstIssue;12.02.2013;17.02.2013;StandardMail
829;100000758;CARDSYSTEM;100000758;1;438323148;22.07.2012;21.07.2016;active;FirstIssue;26.07.2012;30.07.2012;StandardMail
830;100000299;CARDSYSTEM;100000299;1;615897173;26.06.2013;25.06.2017;active;FirstIssue;02.07.2013;05.07.2013;StandardMail
831;100000759;CARDSYSTEM;100000759;1;501219231;16.09.2015;15.09.2019;active;FirstIssue;20.09.2015;27.09.2015;StandardMail
832;100000300;CARDSYSTEM;100000300;1;409246805;21.06.2016;20.06.2020;active;FirstIssue;26.06.2016;29.06.2016;StandardMail
833;100000760;CARDSYSTEM;100000760;1;432431048;01.10.2013;30.09.2017;active;FirstIssue;07.10.2013;11.10.2013;StandardMail
834;100000301;CARDSYSTEM;100000301;1;213125867;19.10.2014;18.10.2018;active;FirstIssue;24.10.2014;29.10.2014;StandardMail
835;100000302;CARDSYSTEM;100000302;1;581947560;11.10.2012;10.10.2016;active;FirstIssue;14.10.2012;20.10.2012;StandardMail
836;100000761;CARDSYSTEM;100000761;1;942502994;17.04.2015;16.04.2019;active;FirstIssue;23.04.2015;25.04.2015;StandardMail
837;100000303;CARDSYSTEM;100000303;1;696146826;10.06.2014;09.06.2018;active;FirstIssue;16.06.2014;18.06.2014;StandardMail
838;100000762;CARDSYSTEM;100000762;1;200302217;14.10.2014;13.10.2018;active;FirstIssue;20.10.2014;25.10.2014;StandardMail
839;100000304;CARDSYSTEM;100000304;1;491964463;22.02.2016;21.02.2020;active;FirstIssue;26.02.2016;03.03.2016;StandardMail
840;100000763;CARDSYSTEM;100000763;1;947698291;14.04.2015;13.04.2019;active;FirstIssue;20.04.2015;25.04.2015;StandardMail
841;100000305;CARDSYSTEM;100000305;1;202177786;27.01.2017;26.01.2021;active;FirstIssue;31.01.2017;06.02.2017;StandardMail
842;100000764;CARDSYSTEM;100000764;1;68953921;30.10.2012;29.10.2016;active;FirstIssue;04.11.2012;08.11.2012;StandardMail
843;100000306;CARDSYSTEM;100000306;1;97563334;08.08.2012;07.08.2016;active;FirstIssue;14.08.2012;17.08.2012;StandardMail
844;100000307;CARDSYSTEM;100000307;1;532024738;14.12.2015;13.12.2019;active;FirstIssue;17.12.2015;22.12.2015;StandardMail
845;100000765;CARDSYSTEM;100000765;1;830489493;17.06.2016;16.06.2020;active;FirstIssue;20.06.2016;28.06.2016;StandardMail
846;100000766;CARDSYSTEM;100000766;1;93744745;18.02.2017;17.02.2021;active;FirstIssue;23.02.2017;01.03.2017;StandardMail
847;100000308;CARDSYSTEM;100000308;1;330648761;08.01.2015;07.01.2019;active;FirstIssue;12.01.2015;18.01.2015;StandardMail
848;100000767;CARDSYSTEM;100000767;1;266965434;04.04.2013;03.04.2017;active;FirstIssue;09.04.2013;14.04.2013;StandardMail
849;100000309;CARDSYSTEM;100000309;1;680487159;11.06.2015;10.06.2019;active;FirstIssue;14.06.2015;22.06.2015;StandardMail
850;100000768;CARDSYSTEM;100000768;1;495287693;03.02.2014;02.02.2018;active;FirstIssue;08.02.2014;13.02.2014;StandardMail
851;100000310;CARDSYSTEM;100000310;1;200299314;22.05.2017;21.05.2021;active;FirstIssue;27.05.2017;02.06.2017;StandardMail
852;100000769;CARDSYSTEM;100000769;1;463793903;03.03.2013;02.03.2017;active;FirstIssue;07.03.2013;14.03.2013;StandardMail
853;100000311;CARDSYSTEM;100000311;1;490607698;19.08.2015;18.08.2019;active;FirstIssue;24.08.2015;30.08.2015;StandardMail
854;100000770;CARDSYSTEM;100000770;1;478343339;14.06.2015;13.06.2019;active;FirstIssue;19.06.2015;22.06.2015;StandardMail
855;100000312;CARDSYSTEM;100000312;1;934618134;01.11.2015;31.10.2019;active;FirstIssue;04.11.2015;11.11.2015;StandardMail
856;100000771;CARDSYSTEM;100000771;1;374897584;16.03.2013;15.03.2017;active;FirstIssue;19.03.2013;27.03.2013;StandardMail
857;100000313;CARDSYSTEM;100000313;1;439515787;11.06.2015;10.06.2019;active;FirstIssue;17.06.2015;22.06.2015;StandardMail
858;100000772;CARDSYSTEM;100000772;1;366178226;24.01.2017;23.01.2021;active;FirstIssue;28.01.2017;03.02.2017;StandardMail
859;100000314;CARDSYSTEM;100000314;1;868007174;28.06.2015;27.06.2019;active;FirstIssue;01.07.2015;09.07.2015;StandardMail
860;100000773;CARDSYSTEM;100000773;1;543997266;08.02.2012;07.02.2016;active;FirstIssue;12.02.2012;17.02.2012;StandardMail
861;100000315;CARDSYSTEM;100000315;1;522668855;11.07.2013;10.07.2017;active;FirstIssue;16.07.2013;20.07.2013;StandardMail
862;100000774;CARDSYSTEM;100000774;1;557365676;02.02.2016;01.02.2020;active;FirstIssue;06.02.2016;10.02.2016;StandardMail
863;100000775;CARDSYSTEM;100000775;1;597289252;01.04.2014;31.03.2018;active;FirstIssue;04.04.2014;09.04.2014;StandardMail
864;100000316;CARDSYSTEM;100000316;1;117346719;25.02.2017;24.02.2021;active;FirstIssue;02.03.2017;06.03.2017;StandardMail
865;100000776;CARDSYSTEM;100000776;1;680609433;29.07.2012;28.07.2016;active;FirstIssue;04.08.2012;08.08.2012;StandardMail
866;100000317;CARDSYSTEM;100000317;1;432177098;18.03.2013;17.03.2017;active;FirstIssue;23.03.2013;27.03.2013;StandardMail
867;100000777;CARDSYSTEM;100000777;1;151544497;16.07.2015;15.07.2019;active;FirstIssue;22.07.2015;26.07.2015;StandardMail
868;100000318;CARDSYSTEM;100000318;1;703098652;21.01.2016;20.01.2020;active;FirstIssue;26.01.2016;31.01.2016;StandardMail
869;100000778;CARDSYSTEM;100000778;1;397105014;14.05.2017;13.05.2021;active;FirstIssue;17.05.2017;24.05.2017;StandardMail
870;100000319;CARDSYSTEM;100000319;1;687839142;29.05.2012;28.05.2016;active;FirstIssue;02.06.2012;06.06.2012;StandardMail
871;100000779;CARDSYSTEM;100000779;1;850320683;31.01.2016;30.01.2020;active;FirstIssue;03.02.2016;10.02.2016;StandardMail
872;100000320;CARDSYSTEM;100000320;1;592591903;25.11.2016;24.11.2020;active;FirstIssue;29.11.2016;06.12.2016;StandardMail
873;100000321;CARDSYSTEM;100000321;1;97666521;10.09.2016;09.09.2020;active;FirstIssue;14.09.2016;20.09.2016;StandardMail
874;100000780;CARDSYSTEM;100000780;1;653475515;29.05.2016;28.05.2020;active;FirstIssue;04.06.2016;08.06.2016;StandardMail
875;100000322;CARDSYSTEM;100000322;1;257725276;01.02.2012;31.01.2016;active;FirstIssue;07.02.2012;12.02.2012;StandardMail
876;100000781;CARDSYSTEM;100000781;1;475146915;03.02.2012;02.02.2016;active;FirstIssue;06.02.2012;14.02.2012;StandardMail
877;100000323;CARDSYSTEM;100000323;1;899833784;27.06.2012;26.06.2016;active;FirstIssue;03.07.2012;07.07.2012;StandardMail
878;100000782;CARDSYSTEM;100000782;1;784186621;08.04.2014;07.04.2018;active;FirstIssue;11.04.2014;17.04.2014;StandardMail
879;100000324;CARDSYSTEM;100000324;1;663014798;20.07.2016;19.07.2020;active;FirstIssue;24.07.2016;31.07.2016;StandardMail
880;100000783;CARDSYSTEM;100000783;1;543041839;22.02.2013;21.02.2017;active;FirstIssue;27.02.2013;05.03.2013;StandardMail
881;100000325;CARDSYSTEM;100000325;1;150251765;29.12.2014;28.12.2018;active;FirstIssue;02.01.2015;09.01.2015;StandardMail
882;100000326;CARDSYSTEM;100000326;1;210477760;11.01.2016;10.01.2020;active;FirstIssue;14.01.2016;19.01.2016;StandardMail
883;100000784;CARDSYSTEM;100000784;1;689021050;08.11.2012;07.11.2016;active;FirstIssue;12.11.2012;17.11.2012;StandardMail
884;100000327;CARDSYSTEM;100000327;1;388811833;07.09.2012;06.09.2016;active;FirstIssue;11.09.2012;16.09.2012;StandardMail
885;100000785;CARDSYSTEM;100000785;1;511001682;12.01.2015;11.01.2019;active;FirstIssue;18.01.2015;22.01.2015;StandardMail
886;100000328;CARDSYSTEM;100000328;1;1003258653;22.07.2015;21.07.2019;active;FirstIssue;28.07.2015;30.07.2015;StandardMail
887;100000786;CARDSYSTEM;100000786;1;435389504;15.02.2012;14.02.2016;active;FirstIssue;20.02.2012;26.02.2012;StandardMail
888;100000329;CARDSYSTEM;100000329;1;341784340;01.05.2014;30.04.2018;active;FirstIssue;04.05.2014;09.05.2014;StandardMail
889;100000787;CARDSYSTEM;100000787;1;697473856;10.10.2016;09.10.2020;active;FirstIssue;13.10.2016;18.10.2016;StandardMail
890;100000330;CARDSYSTEM;100000330;1;882423330;30.06.2014;29.06.2018;active;FirstIssue;03.07.2014;10.07.2014;StandardMail
891;100000788;CARDSYSTEM;100000788;1;945321085;25.04.2017;24.04.2021;active;FirstIssue;30.04.2017;03.05.2017;StandardMail
892;100000331;CARDSYSTEM;100000331;1;381840972;09.05.2016;08.05.2020;active;FirstIssue;14.05.2016;18.05.2016;StandardMail
893;100000789;CARDSYSTEM;100000789;1;224996946;25.12.2016;24.12.2020;active;FirstIssue;29.12.2016;04.01.2017;StandardMail
894;100000332;CARDSYSTEM;100000332;1;38450348;14.03.2014;13.03.2018;active;FirstIssue;17.03.2014;22.03.2014;StandardMail
895;100000790;CARDSYSTEM;100000790;1;44832429;29.06.2012;28.06.2016;active;FirstIssue;02.07.2012;08.07.2012;StandardMail
896;100000333;CARDSYSTEM;100000333;1;687199654;21.02.2016;20.02.2020;active;FirstIssue;26.02.2016;02.03.2016;StandardMail
897;100000791;CARDSYSTEM;100000791;1;781454239;24.08.2013;23.08.2017;active;FirstIssue;28.08.2013;01.09.2013;StandardMail
898;100000334;CARDSYSTEM;100000334;1;598806196;02.12.2012;01.12.2016;active;FirstIssue;08.12.2012;11.12.2012;StandardMail
899;100000792;CARDSYSTEM;100000792;1;991256505;19.03.2016;18.03.2020;active;FirstIssue;22.03.2016;30.03.2016;StandardMail
900;100000335;CARDSYSTEM;100000335;1;505872642;14.08.2012;13.08.2016;active;FirstIssue;17.08.2012;22.08.2012;StandardMail
901;100000793;CARDSYSTEM;100000793;1;690101652;27.11.2014;26.11.2018;active;FirstIssue;30.11.2014;05.12.2014;StandardMail
902;100000336;CARDSYSTEM;100000336;1;413249772;04.02.2017;03.02.2021;active;FirstIssue;07.02.2017;12.02.2017;StandardMail
903;100000794;CARDSYSTEM;100000794;1;674886185;15.09.2013;14.09.2017;active;FirstIssue;21.09.2013;26.09.2013;StandardMail
904;100000795;CARDSYSTEM;100000795;1;771302270;14.09.2015;13.09.2019;active;FirstIssue;18.09.2015;25.09.2015;StandardMail
905;100000337;CARDSYSTEM;100000337;1;663733583;24.01.2017;23.01.2021;active;FirstIssue;28.01.2017;01.02.2017;StandardMail
906;100000338;CARDSYSTEM;100000338;1;393495808;30.08.2015;29.08.2019;active;FirstIssue;02.09.2015;10.09.2015;StandardMail
907;100000796;CARDSYSTEM;100000796;1;58922024;21.05.2015;20.05.2019;active;FirstIssue;25.05.2015;29.05.2015;StandardMail
908;100000339;CARDSYSTEM;100000339;1;403448499;25.12.2014;24.12.2018;active;FirstIssue;29.12.2014;05.01.2015;StandardMail
909;100000797;CARDSYSTEM;100000797;1;688206866;20.03.2012;19.03.2016;active;FirstIssue;23.03.2012;29.03.2012;StandardMail
910;100000340;CARDSYSTEM;100000340;1;56329912;10.09.2014;09.09.2018;active;FirstIssue;15.09.2014;19.09.2014;StandardMail
911;100000798;CARDSYSTEM;100000798;1;993242066;27.02.2012;26.02.2016;active;FirstIssue;04.03.2012;07.03.2012;StandardMail
912;100000341;CARDSYSTEM;100000341;1;876546549;30.03.2016;29.03.2020;active;FirstIssue;05.04.2016;10.04.2016;StandardMail
913;100000799;CARDSYSTEM;100000799;1;922836960;26.10.2016;25.10.2020;active;FirstIssue;31.10.2016;03.11.2016;StandardMail
914;100000342;CARDSYSTEM;100000342;1;560081983;11.04.2014;10.04.2018;active;FirstIssue;15.04.2014;22.04.2014;StandardMail
915;100000800;CARDSYSTEM;100000800;1;390966567;24.07.2016;23.07.2020;active;FirstIssue;27.07.2016;03.08.2016;StandardMail
916;100000343;CARDSYSTEM;100000343;1;73354756;31.10.2013;30.10.2017;active;FirstIssue;03.11.2013;11.11.2013;StandardMail
917;100000801;CARDSYSTEM;100000801;1;283732347;20.08.2015;19.08.2019;active;FirstIssue;26.08.2015;29.08.2015;StandardMail
918;100000344;CARDSYSTEM;100000344;1;339304396;12.05.2015;11.05.2019;active;FirstIssue;16.05.2015;22.05.2015;StandardMail
919;100000802;CARDSYSTEM;100000802;1;855654949;17.04.2014;16.04.2018;active;FirstIssue;21.04.2014;25.04.2014;StandardMail
920;100000345;CARDSYSTEM;100000345;1;692696782;25.04.2016;24.04.2020;active;FirstIssue;29.04.2016;04.05.2016;StandardMail
921;100000803;CARDSYSTEM;100000803;1;767819731;13.04.2017;12.04.2021;active;FirstIssue;17.04.2017;24.04.2017;StandardMail
922;100000346;CARDSYSTEM;100000346;1;542296035;10.01.2014;09.01.2018;active;FirstIssue;16.01.2014;18.01.2014;StandardMail
923;100000804;CARDSYSTEM;100000804;1;177023394;22.12.2014;21.12.2018;active;FirstIssue;28.12.2014;30.12.2014;StandardMail
924;100000347;CARDSYSTEM;100000347;1;426946146;11.01.2015;10.01.2019;active;FirstIssue;15.01.2015;21.01.2015;StandardMail
925;100000805;CARDSYSTEM;100000805;1;865596138;24.10.2014;23.10.2018;active;FirstIssue;29.10.2014;01.11.2014;StandardMail
926;100000348;CARDSYSTEM;100000348;1;829621850;27.07.2012;26.07.2016;active;FirstIssue;02.08.2012;06.08.2012;StandardMail
927;100000349;CARDSYSTEM;100000349;1;347860645;14.05.2016;13.05.2020;active;FirstIssue;17.05.2016;23.05.2016;StandardMail
928;100000806;CARDSYSTEM;100000806;1;725080289;29.12.2012;28.12.2016;active;FirstIssue;03.01.2013;07.01.2013;StandardMail
929;100000350;CARDSYSTEM;100000350;1;671080200;11.09.2012;10.09.2016;active;FirstIssue;16.09.2012;19.09.2012;StandardMail
930;100000807;CARDSYSTEM;100000807;1;827049465;16.04.2013;15.04.2017;active;FirstIssue;22.04.2013;24.04.2013;StandardMail
931;100000351;CARDSYSTEM;100000351;1;562087835;17.09.2012;16.09.2016;active;FirstIssue;23.09.2012;28.09.2012;StandardMail
932;100000352;CARDSYSTEM;100000352;1;134006246;03.05.2015;02.05.2019;active;FirstIssue;07.05.2015;11.05.2015;StandardMail
933;100000808;CARDSYSTEM;100000808;1;590447047;12.05.2014;11.05.2018;active;FirstIssue;16.05.2014;23.05.2014;StandardMail
934;100000353;CARDSYSTEM;100000353;1;11645103;05.04.2012;04.04.2016;active;FirstIssue;08.04.2012;15.04.2012;StandardMail
935;100000809;CARDSYSTEM;100000809;1;154106803;01.10.2012;30.09.2016;active;FirstIssue;04.10.2012;10.10.2012;StandardMail
936;100000354;CARDSYSTEM;100000354;1;243426854;05.06.2017;04.06.2021;active;FirstIssue;08.06.2017;13.06.2017;StandardMail
937;100000355;CARDSYSTEM;100000355;1;258624404;04.12.2012;03.12.2016;active;FirstIssue;09.12.2012;14.12.2012;StandardMail
938;100000810;CARDSYSTEM;100000810;1;444299671;07.09.2015;06.09.2019;active;FirstIssue;13.09.2015;17.09.2015;StandardMail
939;100000356;CARDSYSTEM;100000356;1;338785624;30.05.2016;29.05.2020;active;FirstIssue;05.06.2016;09.06.2016;StandardMail
940;100000811;CARDSYSTEM;100000811;1;538626479;22.04.2014;21.04.2018;active;FirstIssue;25.04.2014;01.05.2014;StandardMail
941;100000357;CARDSYSTEM;100000357;1;336871995;18.03.2017;17.03.2021;active;FirstIssue;22.03.2017;28.03.2017;StandardMail
942;100000358;CARDSYSTEM;100000358;1;448836867;20.03.2012;19.03.2016;active;FirstIssue;24.03.2012;28.03.2012;StandardMail
943;100000812;CARDSYSTEM;100000812;1;411200322;30.06.2012;29.06.2016;active;FirstIssue;05.07.2012;09.07.2012;StandardMail
944;100000359;CARDSYSTEM;100000359;1;190985659;23.05.2015;22.05.2019;active;FirstIssue;29.05.2015;01.06.2015;StandardMail
945;100000813;CARDSYSTEM;100000813;1;681102426;22.10.2015;21.10.2019;active;FirstIssue;25.10.2015;31.10.2015;StandardMail
946;100000360;CARDSYSTEM;100000360;1;544681654;31.08.2012;30.08.2016;active;FirstIssue;05.09.2012;10.09.2012;StandardMail
947;100000814;CARDSYSTEM;100000814;1;843471598;24.04.2013;23.04.2017;active;FirstIssue;28.04.2013;04.05.2013;StandardMail
948;100000361;CARDSYSTEM;100000361;1;964526201;17.02.2017;16.02.2021;active;FirstIssue;21.02.2017;26.02.2017;StandardMail
949;100000815;CARDSYSTEM;100000815;1;913129434;24.01.2015;23.01.2019;active;FirstIssue;27.01.2015;02.02.2015;StandardMail
950;100000816;CARDSYSTEM;100000816;1;749544470;15.05.2017;14.05.2021;active;FirstIssue;20.05.2017;23.05.2017;StandardMail
951;100000362;CARDSYSTEM;100000362;1;634132651;17.01.2012;16.01.2016;active;FirstIssue;20.01.2012;28.01.2012;StandardMail
952;100000817;CARDSYSTEM;100000817;1;237950542;08.02.2016;07.02.2020;active;FirstIssue;11.02.2016;18.02.2016;StandardMail
953;100000363;CARDSYSTEM;100000363;1;358893445;13.02.2012;12.02.2016;active;FirstIssue;16.02.2012;24.02.2012;StandardMail
954;100000364;CARDSYSTEM;100000364;1;991158107;11.03.2013;10.03.2017;active;FirstIssue;16.03.2013;20.03.2013;StandardMail
955;100000818;CARDSYSTEM;100000818;1;695311462;19.11.2015;18.11.2019;active;FirstIssue;22.11.2015;29.11.2015;StandardMail
956;100000819;CARDSYSTEM;100000819;1;399560934;30.01.2013;29.01.2017;active;FirstIssue;03.02.2013;08.02.2013;StandardMail
957;100000365;CARDSYSTEM;100000365;1;501937237;06.05.2017;05.05.2021;active;FirstIssue;11.05.2017;14.05.2017;StandardMail
958;100000820;CARDSYSTEM;100000820;1;360271563;29.08.2015;28.08.2019;active;FirstIssue;03.09.2015;06.09.2015;StandardMail
959;100000366;CARDSYSTEM;100000366;1;417359470;05.11.2013;04.11.2017;active;FirstIssue;09.11.2013;13.11.2013;StandardMail
960;100000821;CARDSYSTEM;100000821;1;788968975;24.07.2014;23.07.2018;active;FirstIssue;29.07.2014;03.08.2014;StandardMail
961;100000367;CARDSYSTEM;100000367;1;238628974;20.02.2012;19.02.2016;active;FirstIssue;26.02.2012;28.02.2012;StandardMail
962;100000368;CARDSYSTEM;100000368;1;278647166;26.10.2014;25.10.2018;active;FirstIssue;31.10.2014;04.11.2014;StandardMail
963;100000369;CARDSYSTEM;100000369;1;472732291;16.04.2013;15.04.2017;active;FirstIssue;21.04.2013;24.04.2013;StandardMail
964;100000822;CARDSYSTEM;100000822;1;516921237;11.05.2014;10.05.2018;active;FirstIssue;16.05.2014;22.05.2014;StandardMail
965;100000370;CARDSYSTEM;100000370;1;140520184;22.12.2013;21.12.2017;active;FirstIssue;28.12.2013;30.12.2013;StandardMail
966;100000823;CARDSYSTEM;100000823;1;474297887;12.03.2015;11.03.2019;active;FirstIssue;16.03.2015;21.03.2015;StandardMail
967;100000371;CARDSYSTEM;100000371;1;153378185;08.01.2016;07.01.2020;active;FirstIssue;12.01.2016;19.01.2016;StandardMail
968;100000824;CARDSYSTEM;100000824;1;49924244;04.03.2014;03.03.2018;active;FirstIssue;08.03.2014;15.03.2014;StandardMail
969;100000372;CARDSYSTEM;100000372;1;183759304;05.08.2012;04.08.2016;active;FirstIssue;10.08.2012;14.08.2012;StandardMail
970;100000825;CARDSYSTEM;100000825;1;360042319;26.05.2016;25.05.2020;active;FirstIssue;31.05.2016;04.06.2016;StandardMail
971;100000373;CARDSYSTEM;100000373;1;730257084;12.03.2012;11.03.2016;active;FirstIssue;15.03.2012;21.03.2012;StandardMail
972;100000826;CARDSYSTEM;100000826;1;710940881;30.04.2012;29.04.2016;active;FirstIssue;05.05.2012;08.05.2012;StandardMail
973;100000374;CARDSYSTEM;100000374;1;169454684;11.06.2013;10.06.2017;active;FirstIssue;15.06.2013;22.06.2013;StandardMail
974;100000827;CARDSYSTEM;100000827;1;447167278;03.08.2013;02.08.2017;active;FirstIssue;07.08.2013;12.08.2013;StandardMail
975;100000375;CARDSYSTEM;100000375;1;357781394;13.06.2014;12.06.2018;active;FirstIssue;18.06.2014;22.06.2014;StandardMail
976;100000828;CARDSYSTEM;100000828;1;678472012;03.09.2016;02.09.2020;active;FirstIssue;08.09.2016;12.09.2016;StandardMail
977;100000376;CARDSYSTEM;100000376;1;565037249;15.02.2015;14.02.2019;active;FirstIssue;20.02.2015;25.02.2015;StandardMail
978;100000829;CARDSYSTEM;100000829;1;388260499;05.01.2013;04.01.2017;active;FirstIssue;10.01.2013;14.01.2013;StandardMail
979;100000377;CARDSYSTEM;100000377;1;845705478;21.02.2017;20.02.2021;active;FirstIssue;26.02.2017;01.03.2017;StandardMail
980;100000830;CARDSYSTEM;100000830;1;548958276;18.10.2013;17.10.2017;active;FirstIssue;24.10.2013;26.10.2013;StandardMail
981;100000378;CARDSYSTEM;100000378;1;536942983;26.03.2012;25.03.2016;active;FirstIssue;30.03.2012;05.04.2012;StandardMail
982;100000831;CARDSYSTEM;100000831;1;988564529;18.06.2015;17.06.2019;active;FirstIssue;21.06.2015;26.06.2015;StandardMail
983;100000379;CARDSYSTEM;100000379;1;347921499;31.05.2014;30.05.2018;active;FirstIssue;03.06.2014;11.06.2014;StandardMail
984;100000832;CARDSYSTEM;100000832;1;256896943;02.10.2014;01.10.2018;active;FirstIssue;05.10.2014;13.10.2014;StandardMail
985;100000380;CARDSYSTEM;100000380;1;866585858;20.02.2015;19.02.2019;active;FirstIssue;23.02.2015;03.03.2015;StandardMail
986;100000833;CARDSYSTEM;100000833;1;46751069;21.05.2013;20.05.2017;active;FirstIssue;24.05.2013;29.05.2013;StandardMail
987;100000381;CARDSYSTEM;100000381;1;957268823;03.10.2014;02.10.2018;active;FirstIssue;09.10.2014;11.10.2014;StandardMail
988;100000834;CARDSYSTEM;100000834;1;506447432;19.08.2015;18.08.2019;active;FirstIssue;24.08.2015;30.08.2015;StandardMail
989;100000382;CARDSYSTEM;100000382;1;428069718;16.01.2013;15.01.2017;active;FirstIssue;22.01.2013;27.01.2013;StandardMail
